Jurisdiction,Week,All,Natural,Septicemia,Malignant,Diabetes,Alzheimer,Influenza,Chronic Illnesses,Other Diseases,Nephritis,"Symptoms, Signs, and Abnormal Clinical and Laboratory Findings",Heart Diseases,Cerebrovascular,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
United States,1/4/2020,60176,55009,843,11569,1829,2537,1559,3501,1068,1094,630,14202,3110,0,0
Alabama,1/4/2020,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0
Alaska,1/4/2020,89,71,NA,16,NA,NA,0,NA,0,NA,0,17,NA,0,0
Arizona,1/4/2020,1301,1182,NA,248,47,66,30,90,17,11,17,314,55,0,0
Arkansas,1/4/2020,672,630,17,114,25,38,18,62,NA,NA,NA,174,34,0,0
California,1/4/2020,5888,5437,34,1200,239,386,187,275,80,97,16,1394,378,0,0
Colorado,1/4/2020,854,758,NA,157,19,33,NA,53,20,13,NA,177,47,0,0
Connecticut,1/4/2020,633,574,11,123,12,15,NA,18,11,13,NA,160,29,0,0
Delaware,1/4/2020,199,179,NA,36,NA,12,NA,11,NA,NA,NA,50,15,0,0
District of Columbia,1/4/2020,132,109,NA,20,0,0,NA,NA,NA,0,0,33,NA,0,0
Florida,1/4/2020,4341,3928,60,873,136,127,87,265,59,75,54,1013,277,0,0
Georgia,1/4/2020,1803,1657,41,337,61,83,61,100,44,41,23,401,93,0,0
Hawaii,1/4/2020,242,222,NA,33,NA,NA,12,10,NA,NA,NA,67,18,0,0
Idaho,1/4/2020,278,255,NA,68,NA,14,NA,19,NA,NA,NA,44,13,0,0
Illinois,1/4/2020,2191,2007,29,427,57,74,46,106,43,57,24,520,119,0,0
Indiana,1/4/2020,1470,1357,27,258,47,51,42,115,30,40,10,335,60,0,0
Iowa,1/4/2020,665,618,NA,115,19,28,12,62,18,NA,12,168,24,0,0
Kansas,1/4/2020,591,542,NA,89,14,18,23,56,12,13,NA,136,25,0,0
Kentucky,1/4/2020,1093,1001,18,209,50,38,30,91,14,27,NA,222,49,0,0
Louisiana,1/4/2020,927,837,21,183,29,39,17,44,25,15,12,241,57,0,0
Maine,1/4/2020,320,289,0,65,NA,14,NA,16,NA,NA,NA,65,17,0,0
Maryland,1/4/2020,1049,937,14,213,41,21,33,38,13,12,NA,249,58,0,0
Massachusetts,1/4/2020,1242,1131,23,261,33,30,34,57,18,32,17,224,52,0,0
Michigan,1/4/2020,2015,1863,34,401,63,80,42,133,21,39,10,513,114,0,0
Minnesota,1/4/2020,1009,929,17,219,42,56,17,45,18,10,25,197,47,0,0
